"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012424","STRACHOWICE, PL","2018-01-01","0.00",,"47","53",
"PLM00012424","STRACHOWICE, PL","2018-01-02","0.00",,"38","45",
"PLM00012424","STRACHOWICE, PL","2018-01-03","0.02",,"39","45","32"
"PLM00012424","STRACHOWICE, PL","2018-01-04","0.08",,"43","49",
"PLM00012424","STRACHOWICE, PL","2018-01-05","0.01",,"45","50","39"
"PLM00012424","STRACHOWICE, PL","2018-01-06","0.00",,"45","52","40"
"PLM00012424","STRACHOWICE, PL","2018-01-07","0.00",,"38","45",
"PLM00012424","STRACHOWICE, PL","2018-01-08","0.02",,"30","37",
"PLM00012424","STRACHOWICE, PL","2018-01-09","0.00",,"32","40","24"
"PLM00012424","STRACHOWICE, PL","2018-01-10","0.24",,"39","42","36"
"PLM00012424","STRACHOWICE, PL","2018-01-11","0.02",,"38","41",
"PLM00012424","STRACHOWICE, PL","2018-01-12","0.00",,"35","39",
"PLM00012424","STRACHOWICE, PL","2018-01-13","0.00","0.4","32","34",
"PLM00012424","STRACHOWICE, PL","2018-01-14","0.00",,"28","33",
"PLM00012424","STRACHOWICE, PL","2018-01-15","0.00",,"26","35",
"PLM00012424","STRACHOWICE, PL","2018-01-16","0.00","0.4","33","40",
"PLM00012424","STRACHOWICE, PL","2018-01-17","0.01",,"35","38","29"
"PLM00012424","STRACHOWICE, PL","2018-01-18","0.00","0.4","37","44","33"
"PLM00012424","STRACHOWICE, PL","2018-01-19","0.01",,"35","44",
"PLM00012424","STRACHOWICE, PL","2018-01-20","0.00","0.4","33","40",
"PLM00012424","STRACHOWICE, PL","2018-01-21","0.00",,"29","32",
"PLM00012424","STRACHOWICE, PL","2018-01-22","0.00",,"30","34","28"
"PLM00012424","STRACHOWICE, PL","2018-01-23","0.00","0.4","31","35",
"PLM00012424","STRACHOWICE, PL","2018-01-24","0.01",,"41","49","32"
"PLM00012424","STRACHOWICE, PL","2018-01-25","0.00",,"43","51",
"PLM00012424","STRACHOWICE, PL","2018-01-26","0.00",,"38","45",
"PLM00012424","STRACHOWICE, PL","2018-01-27","0.00",,"41",,"35"
"PLM00012424","STRACHOWICE, PL","2018-01-28","0.06",,"44",,"39"
"PLM00012424","STRACHOWICE, PL","2018-01-29","0.00",,"50",,"48"
"PLM00012424","STRACHOWICE, PL","2018-01-30","0.04",,"41","51",
"PLM00012424","STRACHOWICE, PL","2018-01-31","0.00",,"40","47","29"
"PLM00012424","STRACHOWICE, PL","2018-02-01","0.00",,"40","45",
"PLM00012424","STRACHOWICE, PL","2018-02-02","0.04",,"36","43",
"PLM00012424","STRACHOWICE, PL","2018-02-03","0.00",,"36","43","28"
"PLM00012424","STRACHOWICE, PL","2018-02-04","0.00","0.4","33","37",
"PLM00012424","STRACHOWICE, PL","2018-02-05","0.00","0.4","27","34",
"PLM00012424","STRACHOWICE, PL","2018-02-06","0.00",,"21","31",
"PLM00012424","STRACHOWICE, PL","2018-02-07","0.00",,"29","36","19"
"PLM00012424","STRACHOWICE, PL","2018-02-08","0.00",,"30","36",
"PLM00012424","STRACHOWICE, PL","2018-02-09","0.00",,"26","35",
"PLM00012424","STRACHOWICE, PL","2018-02-10","0.00",,"27","35","17"
"PLM00012424","STRACHOWICE, PL","2018-02-11","0.00",,"34","41","30"
"PLM00012424","STRACHOWICE, PL","2018-02-12","0.00",,"36","43",
"PLM00012424","STRACHOWICE, PL","2018-02-13","0.00","0.4","32","41",
"PLM00012424","STRACHOWICE, PL","2018-02-14","0.00","0.4","30","36",
"PLM00012424","STRACHOWICE, PL","2018-02-15","0.02","0.4","31","36",
"PLM00012424","STRACHOWICE, PL","2018-02-16","0.00",,"38","47","31"
"PLM00012424","STRACHOWICE, PL","2018-02-17","0.00",,"35","42",
"PLM00012424","STRACHOWICE, PL","2018-02-18","0.00",,"33","39",
"PLM00012424","STRACHOWICE, PL","2018-02-19","0.00",,"31","39",
"PLM00012424","STRACHOWICE, PL","2018-02-20","0.00",,"29","39",
"PLM00012424","STRACHOWICE, PL","2018-02-21","0.00",,"28","36",
"PLM00012424","STRACHOWICE, PL","2018-02-22","0.00",,"27","36",
"PLM00012424","STRACHOWICE, PL","2018-02-23","0.00",,"23","31",
"PLM00012424","STRACHOWICE, PL","2018-02-24","0.00","0.4","21",,
"PLM00012424","STRACHOWICE, PL","2018-02-25","0.00",,"16","23",
"PLM00012424","STRACHOWICE, PL","2018-02-26","0.00",,"14",,"8"
"PLM00012424","STRACHOWICE, PL","2018-02-27","0.00",,"14","22",
"PLM00012424","STRACHOWICE, PL","2018-02-28","0.00",,"15","22",
"PLM00012424","STRACHOWICE, PL","2018-03-01","0.00",,"15","24",
"PLM00012424","STRACHOWICE, PL","2018-03-02","0.00",,"16","27",
"PLM00012424","STRACHOWICE, PL","2018-03-03","0.00",,"16","26",
"PLM00012424","STRACHOWICE, PL","2018-03-04","0.00",,"21","36","6"
"PLM00012424","STRACHOWICE, PL","2018-03-05","0.00",,"32","43","19"
"PLM00012424","STRACHOWICE, PL","2018-03-06","0.00",,"35","40",
"PLM00012424","STRACHOWICE, PL","2018-03-07","0.27","0.4","37","41",
"PLM00012424","STRACHOWICE, PL","2018-03-08","0.00",,"41","47",
"PLM00012424","STRACHOWICE, PL","2018-03-09","0.00",,"42","53","31"
"PLM00012424","STRACHOWICE, PL","2018-03-10","0.00",,"43","57",
"PLM00012424","STRACHOWICE, PL","2018-03-11","0.00",,"47","62","36"
"PLM00012424","STRACHOWICE, PL","2018-03-12","0.00",,"48","58","37"
"PLM00012424","STRACHOWICE, PL","2018-03-13","0.12",,"49","55",
"PLM00012424","STRACHOWICE, PL","2018-03-14","0.02",,"40","47",
"PLM00012424","STRACHOWICE, PL","2018-03-15","0.01",,"39","44",
"PLM00012424","STRACHOWICE, PL","2018-03-16","0.00",,"32","41",
